STT;Dia;GDCD;Hoa;Li;Ma_mon_ngoai_ngu;Ngoai_ngu;Sinh;Su;Toan;Van;sbd;diem to hop;Diem trung binh;Diem xet tot nghiep;Dieu kien tot nghiep
0;7.75;8.75;;;N1;7.6;;8.25;8.2;8;24008611;8.3;7.4;8.4;Dat
1;;;4.5;8.25;N1;8;6;;8.6;6.17;51000032;6.3;7.2;7.8;Dat
4;8.25;7.5;;;N1;4.4;;7.75;5.8;6;51000013;7.8;9.6;7.7;Dat
5;;;5.75;7.5;N1;4.4;3;;7.2;6.75;51000003;5.4;7.8;7.1;Dat
7;6.25;8.75;;;N1;8.8;;5.25;5;6.5;51000011;6.8;6.2;7.2;Dat
8;;;3.5;5.5;N1;2.2;3.75;;5.6;4.5;51000007;4.3;6.3;5.4;Dat
9;7.5;8.5;;;N1;5.2;;3.25;6.6;7;51000010;6.4;7.8;7.4;Dat
10;7.25;9;;;N1;4.8;;7;7.4;9;51000018;7.8;9.2;8.4;Dat
11;5.25;7.5;;;N1;5.2;;3.5;5.2;6.67;51000028;5.4;7;6.6;Dat
13;7.5;8.75;;;N1;6.6;;7;8.4;7;51000034;7.8;8.7;8.4;Dat
14;;;5;7;N1;3.6;4.75;;7;6.25;51000014;5.6;8.4;7;Dat
15;;;6.75;8;N1;8.8;6.25;;7.8;7.25;51000019;7;7.3;8.2;Dat
16;;;2.75;3.75;N1;2.8;2.75;;6;4.75;51000006;3.1;6.7;5.5;Dat
17;6.75;8.75;;;N1;6.6;;6.25;5.8;6.5;51000033;7.3;9.8;8.1;Dat
18;6.25;6;;;N1;7.2;;4;6.8;6.75;51000024;5.4;8.1;7.6;Dat
21;;;6.5;7.25;N1;3.4;4.5;;7.6;5.75;51000026;6.1;7;6.7;Dat
22;7;8;;;N1;5;;4.75;6.4;6.5;51000039;6.6;6.6;6.9;Dat
23;6.5;8;;;N1;5.2;;4.75;5.2;6.75;51000002;6.4;7.1;6.9;Dat
24;7.75;8;;;N1;7.8;;6.75;7.6;7.25;51000027;7.5;10;8.9;Dat
25;;;4.25;9;N1;8.8;4.25;;7.4;5;51000008;5.8;7.6;7.6;Dat
26;6.75;7.75;;;N1;6.2;;3;5.4;7;51000012;5.8;6.3;6.8;Dat
27;;;6.75;6.75;N1;5.4;3.75;;7.4;6.5;51000040;5.8;6.6;7;Dat
28;;;6.5;6.75;N1;6.6;4.5;;8.2;6.83;51000029;5.9;9.4;8.2;Dat
29;6.5;8;;;N1;7.2;;4;6.8;7.5;51000046;6.2;6.9;7.5;Dat
30;;;3.25;6;N1;4.8;4;;6;6.33;51000038;4.4;6.3;6.3;Dat
31;6;7.25;;;N1;5;;5.5;5;6.5;51000025;6.3;6.8;6.6;Dat
33;6.75;7.75;;;N1;5.6;;6.75;6.8;9;51000022;7.1;8.5;8.1;Dat
34;;;6;6;N1;4.4;4.75;;6.8;6.25;51000017;5.6;7.8;7;Dat
35;6.75;7.25;;;N1;4;;4.75;5.6;6.17;51000030;6.3;6.6;6.4;Dat
37;5.75;7.5;;;N1;6;;4.25;6.4;7;51000009;5.8;9.5;7.9;Dat
38;;;4.75;6.75;N1;6.6;3;;7.4;6.25;51000031;4.8;8.3;7.5;Dat
39;7.5;7.75;;;N1;7.4;;5.5;5.6;7;51000044;6.9;7.4;7.5;Dat
40;;;4.5;3;N1;4.8;3.5;;5.4;6.67;51000016;3.7;8.7;6.8;Dat
41;;;3.75;7.25;N1;7.6;4.25;;7.6;5.67;51000015;5.1;8.7;7.8;Dat
43;7.75;7.25;;;N1;7.8;;5.25;6.2;7.5;51000036;6.8;7.2;7.7;Dat
44;;;6;8;N1;4.2;5.75;;7.4;6;51000048;6.6;9.8;7.8;Dat
45;7.25;6.5;;;N1;9.4;;4.25;7;5.5;51000037;6;7.6;7.8;Dat
46;;;7.25;5;N1;7.8;7.5;;8.2;6.75;51000041;6.6;7.3;7.9;Dat
47;6;7;;;N1;5;;4;6;6.25;51000049;5.7;7.7;6.9;Dat
48;;;6.5;3.5;N1;5.2;6;;7.2;5.75;51000047;5.3;6.2;6.6;Dat
49;;;7;4.25;N1;5.2;5;;7.8;6;51000051;5.4;7.5;7.1;Dat
50;;;5.75;6.25;N1;6.2;4.75;;7.8;5.25;51000050;5.6;6.4;6.9;Dat
51;7;7.25;;;N1;5.6;;5.75;4;6.75;51000045;6.7;6.8;6.7;Dat
52;7;7.5;;;N1;7.4;;5.75;7.4;6.5;51000055;6.8;8.6;8.1;Dat
54;7.5;7.25;;;N1;6.6;;8;6.2;7.25;51000054;7.6;6.3;7.3;Dat
55;6.25;6.75;;;N1;6.4;;4.25;7.6;6.25;51000057;5.8;7.4;7.4;Dat
57;6;7.25;;;N1;4.6;;2.5;5.4;6;51000052;5.3;6.4;6.2;Dat
58;6.5;8;;;N1;6.6;;4.5;6.6;7.5;51000060;6.3;7.1;7.5;Dat
59;6;8.5;;;N1;6.6;;4.75;6.6;7.75;51000063;6.4;8;7.8;Dat
60;8.5;9;;;N1;5.6;;7.5;4.6;7.25;51000056;8.3;7.5;7.4;Dat
62;;;5.75;5.5;N1;4.2;2.5;;5.8;7;51000062;4.6;9.7;7.3;Dat
63;6.5;7.5;;;N1;4.8;;2.5;4.4;4;51000061;5.5;6.2;5.7;Dat
64;;;3.5;3.25;N1;4.6;3.75;;5.4;6.5;51000065;3.5;6.1;5.9;Dat
65;;;6.75;5.25;N1;3.6;3.25;;7;6.17;51000067;5.1;6.7;6.4;Dat
66;5.5;7.5;;;N1;6;;3.75;5.4;5.25;51000064;5.6;8.6;7.1;Dat
67;;;7.75;7;N1;5.4;4;;7.8;5;51000066;6.3;9.9;7.9;Dat
70;7;7.5;;;N1;4;;3.75;5.4;4;51000070;6.1;9.6;6.9;Dat
71;;;4.5;5.75;N1;8;4.75;;8.2;6;51000079;5;6.3;7.3;Dat
72;6.25;8.75;;;N1;6.8;;4;6.8;7.5;51000080;6.3;7.4;7.6;Dat
73;6.75;7.5;;;N1;5.2;;5.25;6.2;6.5;51000073;6.5;8.2;7.3;Dat
74;;;3.5;6.75;N1;6.2;3;;7.6;7.25;51000081;4.4;9.5;7.9;Dat
75;;;3;5.5;N1;4.8;3.75;;6.2;4.75;51000069;4.1;6.2;5.9;Dat
76;6.25;8;;;N1;3.8;;4.25;7;5;51000072;6.2;6.7;6.5;Dat
77;;;3.75;7.5;N1;6.4;2.5;;7.2;6.75;51000074;4.6;6.8;7;Dat
78;4.25;6.5;;;N1;2.6;;2.5;2.2;5.75;51000077;4.4;8.1;5.6;Dat
79;6.5;9;;;N1;6.2;;6;4.6;7.5;51000076;7.2;7.3;7.3;Dat
80;6.75;7.5;;;N1;7.4;;5.5;7.8;9;51000083;6.6;7.4;8.2;Dat
81;;;3.75;6;N1;7.6;4.25;;7.6;7.25;51000078;4.7;9;8.1;Dat
82;;;4.5;5.75;N1;6.6;4.75;;7.2;5.5;51000082;5;9.9;7.8;Dat
83;6.5;8.75;;;N1;2.4;;5.25;4.8;5;51000085;6.8;7;6;Dat
84;;;7;4.75;N1;5.4;7;;7.2;8;51000075;6.3;8.6;7.9;Dat
85;;;6.5;6;N1;8.8;4.5;;6.8;5;51000087;5.7;8.6;7.8;Dat
86;;;6;6;N1;4.2;5;;5.6;5.5;51000086;5.7;8.4;6.8;Dat
87;4.25;4.75;;;N1;1.6;;2.75;2;2.75;51000084;3.9;8.5;4.9;Khong Dat
89;;;6.75;4;N1;4.6;7;;7.6;6.17;51000090;5.9;6.8;6.9;Dat
90;6.75;8.25;;;N1;3.2;;4;5.8;4.25;51000089;6.3;8.9;6.7;Dat
91;;;;;N1;6;;;6;7;51000088;0;8;6.3;Dat
92;7.75;7.5;;;N1;8.8;;5.75;7.6;5.5;51000095;7;6.8;7.7;Dat
93;4.75;6.75;;;N1;2.8;;2.5;3.8;5;51000094;4.7;7.8;5.8;Dat
94;5.25;6.25;;;N1;1.6;;3.5;5;4.75;51000092;5;9.7;6.4;Dat
95;;;4.75;3.25;N1;5;3.5;;5.6;3.5;51000091;3.8;7.9;6.1;Dat
96;6;8;;;N1;6.4;;4.5;6.4;6.75;51000097;6.2;8.8;7.7;Dat
97;;;5;7.25;N1;8.4;6;;8.4;7.25;51000096;6.1;6.4;7.8;Dat
98;;;6.75;7.75;N1;3.8;4.25;;8.4;5.25;51000099;6.3;8.1;7.2;Dat
99;;;6.25;7;N1;4.2;4.75;;6.2;5.75;51000100;6;9.7;7.4;Dat
100;;;4;7.5;N1;3.8;4.75;;6.4;5.25;51000098;5.4;8.2;6.7;Dat
102;7.5;7.75;;;N1;6.4;;5.25;5.6;6.25;51000102;6.8;9.4;7.8;Dat
104;7.25;8.25;;;N1;6;;4;7;6.75;51000103;6.5;7.3;7.4;Dat
105;;;4.25;4.75;N1;4.4;3.25;;4.6;4;51000112;4.1;6.9;5.7;Dat
107;7;7;;;N1;7.4;;3.75;6.4;7.5;51000108;5.9;7.6;7.6;Dat
108;;;7.25;7.75;N1;5.6;4;;7.8;5.5;51000107;6.3;8.2;7.5;Dat
109;;;7.25;7.75;N1;4.8;5.5;;7.4;5.5;51000106;6.8;6.1;6.7;Dat
110;;;8;5.5;N1;7.4;7.75;;6.8;4.75;51000109;7.1;8.1;7.6;Dat
111;;;6.75;5.75;N1;5;4.75;;6.8;7;51000115;5.8;9.1;7.6;Dat
113;;;4.25;5.5;N1;4.6;4.5;;6.6;5;51000110;4.8;9.4;7.1;Dat
114;8;9.75;;;N1;5;;6;5.2;6;51000117;7.9;6.4;6.7;Dat
115;;;6;7;N1;7.2;4;;7.8;6;51000111;5.7;9.9;8.2;Dat
116;;;4;3.5;N1;5.2;5;;6;5.75;51000114;4.2;8.9;7;Dat
117;3.75;4;;;N1;3.2;;2.5;2.4;3.5;51000120;3.4;6.2;4.6;Khong Dat
118;;;3.5;6.25;N1;5;3.75;;7.6;3.75;51000119;4.5;7.5;6.5;Dat
120;;;7.5;3.5;N1;6;4.5;;8.2;8;51000123;5.2;7.4;7.6;Dat
121;;;6.25;7.25;N1;3.4;4.5;;7.4;7.25;51000116;6;6.2;6.7;Dat
122;5.25;8;;;N1;2.6;;3.25;4.6;5.25;51000118;5.5;7.4;6;Dat
123;;;4;6.25;N1;3.6;4.75;;6.4;4.75;51000127;5;6.3;5.9;Dat
127;;;5.25;5.5;N1;7.6;4.5;;8.4;6.25;51000124;5.1;9.6;8.3;Dat
128;;;2.75;4.75;N1;5.2;3.75;;4.6;5;51000129;3.8;9.6;6.7;Dat
129;7.5;8.75;;;N1;2.4;;5.25;4.8;7;51000128;7.2;6.5;6.3;Dat
130;;;7.5;6.25;N1;5.8;5;;7.6;6.25;51000125;6.3;9;7.8;Dat
131;;;7;5;N1;4.4;7;;8.2;7.75;51000132;6.3;8.8;7.9;Dat
132;;;3.25;7;N1;8.4;4.75;;7.2;6.25;51000135;5;8.4;7.8;Dat
134;;;6.75;7.75;N1;7.2;4.75;;7.2;5.25;51000134;6.4;7;7.3;Dat
136;7.25;9.25;;;N1;7;;7.25;7;7.75;51000136;7.9;6.6;7.8;Dat
137;6.5;8.5;;;N1;7;;6.5;6.2;5.75;51000138;7.2;6.1;7;Dat
138;;;4.5;5.75;N1;7.2;4.75;;5;6;51000139;5;6.6;6.6;Dat
139;;;2.75;5.25;N1;6.4;3;;7;7.25;51000140;3.7;8.1;7.3;Dat
140;7.5;8.75;;;N1;6.2;;5.75;6.8;6.75;51000143;7.3;9.7;8.2;Dat
141;;;4.75;5.5;N1;5.2;5;;7.8;6.5;51000141;5.1;8.5;7.5;Dat
143;6.75;7.5;;;N1;3.6;;5.5;4.8;7.75;51000137;6.6;6;6.4;Dat
144;;;4.25;7;N1;6.2;5.5;;7.8;6.75;51000146;5.6;8.9;7.9;Dat
146;;;7.75;4.5;N1;4.4;8.75;;7;7.25;51000153;7;7.2;7.2;Dat
147;;;6.5;7;N1;6;3.75;;8.2;6;51000144;5.8;7.6;7.4;Dat
148;7.5;9;;;N1;8.2;;8.75;5.8;7.5;51000151;8.4;8.3;8.3;Dat
149;;;3.5;4;N1;7.6;5.25;;6;4.5;51000147;4.3;6;6.3;Dat
150;;;6.25;6.5;N1;4.8;3.25;;7;6;51000148;5.3;9.4;7.5;Dat
151;7;8;;;N1;7.2;;5.5;6.2;7.25;51000145;6.8;6.2;7.3;Dat
154;;;6;6;N1;5.6;6;;6.2;6.5;51000156;6;9.9;7.8;Dat
156;6.25;8.25;;;N1;7;;4.25;4.8;8;51000157;6.3;7.6;7.4;Dat
157;;;4.75;6.25;N1;6;6.25;;7;6.5;51000158;5.8;6.4;6.9;Dat
158;6.25;4.75;;;N1;2.8;;3.25;4.4;4.5;51000162;4.8;6.2;5.3;Dat
159;8.5;9;;;N1;6.6;;7;6.2;7.25;51000159;8.2;8.5;8.1;Dat
160;;;5.75;4.75;N1;6.2;6.75;;7.2;5.5;51000154;5.8;8.4;7.4;Dat
162;;;3.25;4;N1;4.2;5;;5.4;5;51000164;4.1;7.5;6.1;Dat
163;;;5.25;7.5;N1;4.6;4;;7.6;6.75;51000161;5.6;7.6;7.2;Dat
164;5.5;8;;;N1;8.2;;4.75;7.6;7;51000163;6.1;8.4;8.2;Dat
166;;;4;7;N1;7;5;;6;8;51000171;5.3;7.1;7.3;Dat
167;5.75;7.75;;;N1;8;;3.5;7;7.5;51000170;5.7;6.2;7.4;Dat
168;;;7.25;4.5;N1;6;8;;8.2;6.25;51000165;6.6;8.1;7.8;Dat
171;5.5;7.75;;;N1;6;;3.5;6.2;7.25;51000168;5.6;7.6;7.3;Dat
172;;;6.75;4;N1;4.6;7;;7.4;6.5;51000167;5.9;6.5;6.8;Dat
173;7.5;8.5;;;N1;4.4;;5.5;6;5.5;51000178;7.2;9;7.3;Dat
174;;;6.5;6.25;N1;6.8;7.25;;8.2;7.25;51000175;6.7;8.5;8.2;Dat
177;;;4.75;3.25;N1;5.8;5;;7.8;7.25;51000173;4.3;9.3;7.8;Dat
178;7.25;9;;;N1;5.6;;7.25;7.2;7.75;51000181;7.8;7.5;7.8;Dat
180;7;8;;;N1;6.2;;5.75;4.4;6.75;51000183;6.9;6.5;6.8;Dat
181;8;8.5;;;N1;5.6;;7.25;4.8;6.75;51000184;7.9;8.2;7.4;Dat
182;7;8.25;;;N1;7.6;;3.5;3.8;7.5;51000180;6.3;6.4;6.9;Dat
183;7.5;6.5;;;N1;7;;6.5;5.4;7.5;51000179;6.8;9.7;8.2;Dat
184;;;6.5;3.75;N1;4.4;6.5;;7.6;6.75;51000182;5.6;8.3;7.4;Dat
185;;;4.25;5.75;N1;5.4;4.75;;5.2;5;51000187;4.9;6.2;6;Dat
186;6.5;6.75;;;N1;3;;4.25;2.6;4.5;51000191;5.8;7.2;5.5;Dat
187;;;4.25;6.25;N1;7.2;4.25;;6.6;7;51000186;4.9;9.5;7.9;Dat
188;4.25;7;;;N1;3.2;;3.5;3.2;3.75;51000188;4.9;6.5;5.2;Dat
189;;;6;2.5;N1;5;6.5;;8.2;5.25;51000192;5;8.2;7.2;Dat
190;;;2.25;7.5;N1;7;4.75;;7.6;6.25;51000185;4.8;6;6.9;Dat
192;6;7.25;;;N1;3.8;;3.5;4.4;5;51000190;5.6;8.4;6.4;Dat
194;;;2.5;5.25;N1;5.4;4.25;;5.8;6.25;51000197;4;9.9;7.3;Dat
195;;;3.75;5.25;N1;5.8;3.75;;6.4;6.25;51000195;4.3;6.4;6.5;Dat
196;7.5;6.5;;;N1;4.8;;5.5;4;5.5;51000193;6.5;7.7;6.6;Dat
197;;;4.75;5.5;N1;7.4;5.75;;7;6.75;51000202;5.3;8.1;7.7;Dat
198;;;7.75;5.25;N1;7;5.5;;7.2;6.75;51000200;6.2;8.8;8;Dat
199;;;3.5;6;N1;7.8;4.5;;7;5;51000203;4.7;9.1;7.6;Dat
200;7.5;8.25;;;N1;6.6;;5;7.8;5.75;51000201;6.9;8.5;7.9;Dat
202;;;4.5;6.25;N1;6.6;4.75;;6.6;4;51000196;5.2;7.5;6.8;Dat
203;5.5;6.75;;;N1;5;;4.5;5;7;51000204;5.6;6.4;6.5;Dat
204;;;6;7.5;N1;7.6;5;;8.4;4.75;51000199;6.2;6.5;7.3;Dat
206;;;6.75;5;N1;5.6;6.75;;6.8;6.5;51000209;6.2;7.1;7.1;Dat
208;;;5;6.25;N1;7.8;4.25;;7.2;6.5;51000210;5.2;9;8;Dat
209;;;5.25;4.75;N1;4.8;7.25;;5.4;4.25;51000207;5.8;7.8;6.5;Dat
210;6;7.75;;;N1;5.4;;5.25;7;3.25;51000206;6.3;8.3;6.9;Dat
211;;;4;5.75;N1;6.8;3.75;;6.2;6.25;51000211;4.5;7.1;6.9;Dat
212;6.25;8.75;;;N1;7.2;;4;6;6.25;51000219;6.3;8.5;7.7;Dat
213;;;6.75;5.75;N1;4.2;6.5;;7.6;5.25;51000214;6.3;7;6.8;Dat
214;;;5.25;3.5;N1;4.2;5.75;;6;6.25;51000212;4.8;6.2;6.2;Dat
217;6.75;7.75;;;N1;5.6;;5;4.6;6.5;51000215;6.5;8.7;7.3;Dat
219;;;5.25;6;N1;6.4;4;;6.4;2.75;51000217;5.1;8.7;6.8;Dat
222;;;5.5;5.75;N1;6.6;4.75;;6.4;6;51000220;5.3;7.1;7;Dat
223;;;3;5;N1;6.4;3.75;;6.6;5.75;51000225;3.9;9.5;7.4;Dat
225;;;4.25;6;N1;6.4;3.5;;5.8;5.5;51000226;4.6;7.7;6.8;Dat
227;5.5;8.75;;;N1;2.6;;4.75;2.8;5.25;51000229;6.3;6.5;5.5;Dat
228;;;3.75;3;N1;5;4.5;;5.4;5.75;51000230;3.8;6.9;6.2;Dat
229;6;7;;;N1;2;;3;3.6;4;51000223;5.3;6.6;5.2;Dat
230;;;6.25;5.5;N1;4.8;6.25;;6.8;7.25;51000232;6;8.6;7.5;Dat
232;6;6.75;;;N1;6.8;;5;7.2;6.5;51000228;5.9;7.3;7.4;Dat
234;6.75;7.75;;;N1;4.6;;5.75;6;6.5;51000241;6.8;9.4;7.6;Dat
235;;;6.25;4.25;N1;5.8;5.75;;7;7.5;51000237;5.4;8.4;7.6;Dat
236;;;7.75;4.25;N1;4;5;;7.4;6.5;51000233;5.7;7.4;7;Dat
238;7;6.75;;;N1;8;;4.25;6.6;7.75;51000231;6;9.4;8.4;Dat
239;;;7.5;6.75;N1;5.6;3.5;;8.6;7;51000239;5.9;6.2;7.2;Dat
240;6.75;8;;;N1;6.8;;4;6;7.5;51000236;6.3;9.2;8;Dat
241;;;3;4.25;N1;4.4;6;;5.2;5.75;51000234;4.4;9.9;7;Dat
242;7;7.5;;;N1;5.4;;6.75;7;7.75;51000246;7.1;9;8.1;Dat
243;6.25;8.25;;;N1;6;;6;5;6.75;51000242;6.8;6.4;6.8;Dat
245;8.5;9.25;;;N1;6.6;;7.25;7.6;7.5;51000245;8.3;9.7;8.8;Dat
246;6;8.5;;;N1;3.8;;4.5;5.8;5;51000240;6.3;9.4;7.1;Dat
248;7.5;8.25;;;N1;7.8;;5.25;7.6;7;51000248;7;6.7;7.8;Dat
249;7.25;7.5;;;N1;6.2;;2.75;5;5.25;51000249;5.8;7;6.6;Dat
250;;;6.5;6.75;N1;6.6;5.5;;8;5.25;51000251;6.3;7.3;7.4;Dat
252;;;7;8;N1;6.2;5.75;;8.2;6.5;51000258;6.9;10;8.5;Dat
253;;;4;6.75;N1;6.4;5;;8.2;6.25;51000250;5.3;9.6;8.1;Dat
254;7.75;9.25;;;N1;6.4;;7.75;6.2;7.75;51000255;8.3;7.6;7.9;Dat
255;5.75;6.5;;;N1;2.4;;3.75;2.8;3.5;51000257;5.3;7.5;5.3;Dat
256;;;2.5;5.5;N1;6.6;4.25;;6;7.25;51000253;4.1;9.3;7.6;Dat
257;;;6.5;7.25;N1;5.4;7.5;;7.2;6.5;51000254;7.1;7.6;7.5;Dat
258;;;5;6.5;N1;5.8;6;;7.8;5.75;51000262;5.8;6.9;7.1;Dat
259;;;6;6.25;N1;4.8;4.5;;7.2;6;51000265;5.6;7.3;6.9;Dat
260;;;7;7.25;N1;3.6;4.25;;7;5.5;51000256;6.2;9.1;7.2;Dat
261;7.75;7;;;N1;5;;6;6.4;8.25;51000263;6.9;6.2;7.1;Dat
262;;;7;3.75;N1;4.6;5.5;;6.4;6.5;51000264;5.4;9.6;7.5;Dat
263;4.25;5.5;;;N1;2.8;;3.25;3.2;1.75;51000259;4.3;7.7;5;Dat
264;;;6.25;4.5;N1;4.8;3.5;;6.2;6.75;51000260;4.8;9.5;7.4;Dat
268;;;5;9;N1;9.6;5.5;;8;6;51000267;6.5;6.6;7.8;Dat
269;;;2;6.25;N1;7;4.75;;7.2;4.5;51000270;4.3;8.6;7.2;Dat
270;;;7.25;8.5;N1;9.4;6.5;;8.2;6.25;51000271;7.4;6.7;8.1;Dat
271;;;3.25;3.25;N1;4;3.75;;4;5.25;51000272;3.4;8.1;5.9;Dat
273;6.25;7.5;;;N1;5.6;;4.75;6.4;7.5;51000273;6.2;6.7;7.1;Dat
274;;;7.25;4;N1;5.8;7;;7.6;6.75;51000274;6.1;9.3;8;Dat
276;8.25;8.25;;;N1;9.4;;6.75;7;5.25;51000279;7.8;9.4;8.6;Dat
278;7.5;8.5;;;N1;5.4;;6.25;6.2;8.25;51000275;7.4;8.7;8;Dat
279;5.5;4.75;;;N1;3.6;;3;5.6;5.75;51000283;4.4;7.8;6.3;Dat
281;;;3;7;N1;4.8;5;;6;6;51000280;5;8.5;7;Dat
282;8.25;7.5;;;N1;9;;7;6.4;7.25;51000282;7.6;8.8;8.5;Dat
283;7.75;10;;;N1;7.4;;6;8.2;7.25;51000289;7.9;6.2;7.8;Dat
284;;;5.75;3;N1;3.4;6.25;;6.4;5.75;51000284;5;6.6;6.2;Dat
285;;;5.5;4.5;N1;4;3.5;;4.8;5;51000293;4.5;8.6;6.4;Dat
286;6.5;7;;;N1;5.6;;5.75;6.6;5.75;51000281;6.4;9.3;7.7;Dat
287;;;5;7;N1;4.6;4;;7.6;6.5;51000287;5.3;7;6.9;Dat
288;;;7.75;8.5;N1;7.2;3.75;;8;7;51000285;6.7;7.1;7.8;Dat
289;6.75;9;;;N1;5.2;;7.25;6.6;8.75;51000286;7.7;6.7;7.6;Dat
290;;;7.5;7.25;N1;3.6;5.5;;7.2;8;51000291;6.8;8.9;7.8;Dat
291;;;7.25;7.25;N1;7.2;5.5;;7;7.5;51000299;6.7;6.7;7.6;Dat
292;;;6.25;3.75;N1;7.2;5.75;;7.8;7.5;51000298;5.3;8.4;8;Dat
293;8;7.75;;;N1;7.8;;5.5;7.2;7.25;51000290;7.1;8;8.1;Dat
294;;;5.5;3;N1;4.6;7;;8;6.75;51000288;5.2;7.1;7;Dat
295;;;5;6;N1;5;5.25;;6.8;7;51000294;5.4;6.6;6.8;Dat
296;;;4;5.5;N1;7.8;4.25;;7.4;5;51000297;4.6;6.8;7;Dat
297;8;9;;;N1;7.6;;4.75;6.6;5.75;51000300;7.3;8.6;7.9;Dat
298;5.5;6.25;;;N1;6;;3.75;6.6;5.5;51000301;5.2;7.7;7;Dat
299;5;8.25;;;N1;2.2;;2;4.4;5.75;51000296;5.1;7.2;5.8;Dat
300;6.75;7;;;N1;5.4;;4.75;6;7.5;51000295;6.2;7.7;7.3;Dat
301;;;3.5;7.75;N1;6.6;4;;6.8;7;51000292;5.1;9.4;7.9;Dat
302;;;5.5;7.5;N1;8.4;3;;7.6;6.5;51000303;5.3;6.8;7.5;Dat
303;;;5;6.5;N1;4.6;4;;7.2;5.5;51000302;5.2;6.1;6.4;Dat
304;;;4;4.75;N1;6.6;4;;6.8;6.5;51000304;4.3;9.9;7.8;Dat
305;7.75;6.5;;;N1;5.4;;5.75;7.8;7;51000305;6.7;8.7;7.9;Dat
306;;;8.25;3.5;N1;5.6;8;;8.8;4;51000306;6.6;6.1;6.8;Dat
307;;;3.75;5.75;N1;3.6;4.75;;6.6;7.25;51000307;4.8;8.3;7;Dat
308;6.5;9;;;N1;8.2;;7;8;7.75;51000311;7.5;7;8.2;Dat
309;;;5.5;7;N1;3.6;5;;6;5.25;51000314;5.8;6.8;6.3;Dat
310;;;5.75;5;N1;6;6.25;;7.6;7.25;51000308;5.7;9;7.9;Dat
311;6.5;9;;;N1;5;;6;6.6;7.25;51000309;7.2;9.6;8;Dat
312;;;4.25;2.75;N1;6.4;4.5;;6.8;6.75;51000315;3.8;8.2;7.2;Dat
313;7.5;8.5;;;N1;7.2;;6.75;7.4;6.5;51000313;7.6;6.2;7.5;Dat
314;7;8.25;;;N1;6.4;;6.5;8;7.5;51000322;7.3;6.4;7.6;Dat
